RC	UFI	UNI	LAT	LONG	DMS_LAT	DMS_LONG	MGRS	JOG	FC	DSG	PC	CC1	ADM1	POP	ELEV	CC2	NT	LC	SHORT_FORM	GENERIC	SORT_NAME_RO	FULL_NAME_RO	FULL_NAME_ND_RO	SORT_NAME_RG	FULL_NAME_RG	FULL_NAME_ND_RG	NOTE	MODIFY_DATE
2	435730	9033809	42.323889	20.321944	421926	201919	34TDM4413185961	NK34-05	T	PASS		AL	00			KV	N			Ćafa	CAFAEKALJIT	Ćafa e Kaljit	Cafa e Kaljit	KALJIT CAFAE	Kaljit, Ćafa e	Kaljit, Cafa e		2008-12-17
2	401230	501043	41.928056	20.593056	415541	203535	34TDM6626041868	NK34-08	T	PASS		AL	00			KV	N			Ćafa	CAFAVORIIBLJETES	Ćafa Vori i Bljetes	Cafa Vori i Bljetes	VORIIBLJETES CAFA	Vori i Bljetes, Ćafa	Vori i Bljetes, Cafa		2008-12-17
2	431216	551459	41.945278	20.751111	415643	204504	34TDM7937043730	NK34-08	T	MT		MK	00			KV	N				CELEPINO	Čelepino	Celepino	CELEPINO	Čelepino	Celepino		2008-12-17
2	431140	551372	41.946389	20.755	415647	204518	34TDM7969343853	NK34-08	T	MT		MK	00			KV	N				CELEPINSKIVRV	Čelepinski Vrv	Celepinski Vrv	CELEPINSKIVRV	Čelepinski Vrv	Celepinski Vrv		2008-12-17
2	402659	508458	42.241389	21.495	421429	212942	34TEM4083976697	NK34-05	T	MTS		MK	00			KV	N	srp		Gora	CRNAGORA	Crna Gora	Crna Gora	CRNAGORA	Crna Gora	Crna Gora		2008-12-17
2	399759	498928	42.398333	20.21	422354	201236	34TDM3498494306	NK34-05	T	PK		AL	00			KV	N				NAMENOTKNOWN	NAME NOT KNOWN	NAME NOT KNOWN	NAMENOTKNOWN	NAME NOT KNOWN	NAME NOT KNOWN		2008-12-17
2	399741	9031831	42.357222	20.244722	422126	201441	34TDM3780189716	NK34-05	T	PASS		AL	00			KV	N			Ćafa	CAFAECOBANIT	Ćafa e Čobanit	Cafa e Cobanit	COBANIT CAFAE	Čobanit, Ćafa e	Cobanit, Cafa e		2008-12-17
2	399709	9031845	42.347778	20.236111	422052	201410	34TDM3708288673	NK34-05	T	PK		AL	00			KV	N			Maja	MAJAPLUMB	Maja Plumb	Maja Plumb	PLUMB MAJA	Plumb, Maja	Plumb, Maja		2008-12-17
2	431129	551356	41.982778	20.749444	415858	204458	34TDM7924447894	NK34-08	T	MT		MK	00			KV	N				BARDALJEVO	Bardaljevo	Bardaljevo	BARDALJEVO	Bardaljevo	Bardaljevo		2008-12-17
2	-84739	-123692	42.096111	20.884167	420546	205303	34TDM9042160454	NK34-05	T	MT		MK	00			KV	N	srp			KOBILICA	Kobilica	Kobilica	KOBILICA	Kobilica	Kobilica		2008-12-17
